ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
462,archaeologist,باستان‌شناس,考古学家 (kǎogǔxuéjiā),पुरातत्वविद् (purātattvavid),arqueólogo,archéologue,عالم آثار (ʿālim ʾāthār),প্রত্নতাত্ত্বিক (protnotattik),arqueólogo,археолог,ماہر آثار قدیمہ (māhir-e-āsār-e-qadīma),arkeolog,Archäologe,考古学者 (kōkogakusha),mwanaakiolojia,पुरातत्त्वज्ञ (purātattvajña),పురావస్తు శాస్త్రవేత్త (purāvastu śāstravētta),arkeolog,고고학자 (gogohagja),archeologo
463,archetypal,کهن‌الگویی,原型的 (yuánxíng de),आद्यरूप (ādyarūp),arquetípico,archétypal,نموذجي أصلي (namūdhajī ʾaṣlī),আদিরূপী (adirupi),arquetípico,архетипический,اولین نمونہ کا (awwalīn namūna kā),arketipe,archetypisch,典型的な (tenkeitekina),-a mfano wa asili,आद्यరూपात्मक (ādyarūpātmaka),పూర్వ నమూనా (pūrva namūnā),arketipik,원형의 (wonhyeong-ui),archetipico
464,archetype,کهن‌الگو,原型 (yuánxíng),आद्यरूप (ādyarūp),arquetipo,archétype,نموذج أصلي (namūdhaj ʾaṣlī),আদিরূপ (adirup),arquétipo,архетип,اولین نمونہ (awwalīn namūna),arketipe,Archetyp,原型 (tenkei),mfano wa asili,आद्यरूप (ādyarūpa),పూర్వ నమూనా (pūrva namūnā),arketip; ilk örnek,원형 (wonhyeong),archetipo
465,architect,معمار,建筑师 (jiànzhúshī),वास्तुकार (vāstukār),arquitecto,architecte,مهندس معماري (muhandis miʿmārī),স্থপতি (sthopoti),arquiteto,архитектор,ماہر تعمیرات (māhir-e-ta'mīrāt),arsitek,Architekt,建築家 (kenchikuka),msanifu majengo,वास्तुविशारद (vāstuviśārada),వాస్తుశిల్పి (vāstuśilpi),mimar,건축가 (geonchugga),architetto
466,architectural,معماری,建筑的 (jiànzhú de),वास्तु (vāstu),arquitectónico,architectural,معماري (miʿmārī),স্থাপত্য (sthapattya),arquitetônico,архитектурный,تعمیراتی (ta'mīrātī),arsitektural,architektonisch,建築の (kenchiku no),-a usanifu majengo,वास्तुशास्त्रीय (vāstuśāstrīya),వాస్తు (vāstu),mimari,건축의 (geonchug-ui),architettonico
467,architecture,معماری,建筑学 (jiànzhúxué),वास्तुकला (vāstukalā),arquitectura,architecture,هندسة معمارية (handasah miʿmāriyyah),স্থাপত্য (sthapattya),arquitetura,архитектура,فن تعمیر (fan-e-ta'mīr),arsitektur,Architektur,建築 (kenchiku),usanifu majengo,वास्तुशास्त्र (vāstuśāstra),వాస్తుశిల్పం (vāstuśilpaṁ),mimari; mimarlık,건축 (geonchug),architettura
468,archival,بایگانی; آرشیوی,档案的 (dàng'àn de),पुरालेखीय (purālekhīya),de archivo,archivistique,أرشيفي (ʾarshīfī),আর্কাইভাল (arkhaibhal),arquivístico,архивный,محفوظ شدہ (mahfūz shuda),kearsipan,archivarisch,アーカイブの (ākaibu no),-a kumbukumbu,संग्रहित (saṅgrahita),ఆర్కైవల్ (ārkaival),arşivlik,기록 보관소의 (gilog bogwanso-ui),archivistico
469,archive,بایگانی; آرشیو,档案馆 (dàng'ànguǎn),पुरालेख (purālekh),archivo,archives,أرشيف (ʾarshīf),আর্কাইভ (arkhaibh),arquivo,архив,محفوظ خانہ (mahfūz khāna),arsip,Archiv,アーカイブ (ākaibu),kumbukumbu,संग्रह (saṅgraha),ఆర్కైవ్ (ārkaiv),arşiv,기록 보관소 (gilog bogwanso),archivio
470,arctic,قطبی,北极的 (běijí de),आर्कटिक (ārkṭik),ártico,arctique,قطبي شمالي (quṭbī shamālī),সুমেরু (shumeru),ártico,арктический,قطبی (qutbī),arktik,arktisch,北極の (hokkyoku no),-a Aktiki,आर्क्टिक (ārkṭika),ఆర్కిటిక్ (ārkiṭik),arktik; kuzey kutbu,북극의 (buggeug-ui),artico
471,ardor,شور; اشتیاق,热情 (rèqíng),उत्साह (utsāh),ardor,ardeur,حماس (ḥamās),প্রবল উৎসাহ (probol utshaho),ardor,пыл; рвение,جوش (josh),semangat,Inbrunst,熱意 (netsui),hamasa,उत्साह (utsāha),ఉత్సాహం (utsāhaṁ),şevk; ateş,열정 (yeoljeong),ardore
472,arduous,شاق; پرزحمت,艰巨的 (jiānjù de),कठिन (kaṭhin),arduo,ardu,شاق (shāqq),শ্রমসাধ্য (shromshaddho),árduo,трудный,مشکل (mushkil),sulit,mühsam,骨の折れる (hone no oreru),-gumu,कष्टदायक (kaṣṭadāyaka),శ్రమతో కూడిన (śramatō kūḍina),zahmetli; güç,고된 (godoen),arduo
473,arduously,به سختی,艰巨地 (jiānjù de),कठिनाई से (kaṭhināī se),arduamente,arduement,بمشقة (bi-mashaqqah),কষ্টের সাথে (koshter shathe),arduamente,с трудом,مشقت سے (mashaqqat se),dengan susah payah,mühsam,骨の折れるように (hone no oreru yōni),kwa shida,कष्टाने (kaṣṭānē),కష్టపడి (kaṣṭapaḍi),zahmetle; güçlükle,힘겹게 (himgyeobge),arduamente
474,are,(هستند),是 (shì),हैं (haĩ),son; están,sont,يكونون (yakūnūn),হও (hôo),são; estão,являются,ہیں (haĩ),adalah,sind,です (desu),wako,आहेत (āhēta),ఉన్నారు (unnāru),-dır;-dir,입니다 (ibnida),sono
475,area,منطقه; ناحیه,区域 (qūyù),क्षेत्र (kṣetra),área,zone; région,منطقة (minṭaqah),এলাকা (elaka),área,область; район,علاقہ (ilāqa),area,Bereich; Gebiet,地域 (chiiki),eneo,क्षेत्र (kṣētra),ప్రాంతం (prāntaṁ),alan; bölge,지역 (jiyeog),area
476,arena,میدان; عرصه,竞技场 (jìngjìchǎng),अखाड़ा (akhāṛā),arena,arène,ساحة (sāḥah), আখড়া (akhra),arena,арена,میدان (maidān),arena,Arena,アリーナ (arīna),uwanja,आखाडा (ākhāḍā),అరేనా (arēnā),arena; alan,경기장 (gyeong-gijang),arena
477,argue,بحث کردن; استدلال کردن,争论 (zhēnglùn),बहस करना (bahas karnā),discutir; argumentar,discuter; argumenter,يجادل (yujādilu),তর্ক করা (torko kora),discutir,спорить; утверждать,بحث کرنا (bahs karna),berdebat,streiten; argumentieren,議論する (giron suru),kubishana,वाद घालणे (vāda ghālaṇē),వాదించు (vādin̄cu),tartışmak,논쟁하다 (nonjaenghada),discutere; argomentare
478,argument,بحث; استدلال,论点 (lùndiǎn),तर्क (tark),argumento,argument,حجة (ḥujjah),তর্ক (torko),argumento,аргумент; спор,دلیل (dalīl),argumen,Argument; Streit,議論 (giron),hoja,वाद (vāda),వాదన (vādana),tartışma; argüman,논쟁 (nonjaeng),argomento
479,arise,برخاستن; پیش آمدن,出现 (chūxiàn),उठना (uṭhnā),surgir,surgir,ينشأ (yanshaʾu),উঠা (utha),surgir,возникать,اٹھنا (uṭhnā),timbul,entstehen,生じる (shōjiru),kutokea,उद्भवणे (udbhavaṇē),తలెత్తు (talettu),ortaya çıkmak; doğmak,생기다 (saeng-gida),sorgere
480,aristocracy,اشرافیت,贵族 (guìzú),कुलीनतंत्र (kulīntantra),aristocracia,aristocratie,أرستقراطية (aristuqrāṭiyyah),অভিজাততন্ত্র (obhijattontro),aristocracia,аристократия,اشرافیہ (ashrāfiya),aristokrasi,Aristokratie,貴族階級 (kizoku kaikyū),heshima,सरंजामशाही (saran̄jāmaśāhī),కులీనత (kulīnata),aristokrasi,귀족 (gwijog),aristocrazia
481,arithmetic,حساب,算术 (suànshù),अंकगणित (aṅkgaṇit),aritmética,arithmétique,حساب (ḥisāb),পাটিগণিত (patigonit),aritmética,арифметика,حساب (hisāb),aritmatika,Arithmetik,算数 (sansū),hesabu,अंकगणित (aṅkagaṇita),అంకగణితం (aṅkagaṇitaṁ),aritmetik,산수 (sansu),aritmetica
482,arm,بازو; سلاح,手臂 (shǒubì); 武器 (wǔqì),बांह (bāंह); हथियार (hathiyār),brazo; arma,bras; arme,ذراع (dhirāʿ); سلاح (silāḥ),বাহু (bahu); অস্ত্র (ostro),braço; arma,рука; оружие,بازو (bāzū); اسلحہ (asliha),lengan; senjata,Arm; Waffe,腕 (ude); 武器 (buki),mkono; silaha,बाहु (bāhu); शस्त्र (śastra),చేయి (cēyi); ఆయుధం (āyudhaṁ),kol; silah,팔; 무기 (pal; mugi),braccio; arma
483,armchair,صندلی راحتی,扶手椅 (fúshǒuyǐ),आरामकुर्सी (ārāmkursī),sillón,fauteuil,كرسي بذراعين (kursī bi-dhirāʿayn),আরামকেদারা (aramkedara),poltrona,кресло,آرام کرسی (ārām kursī),kursi lengan,Sessel,肘掛け椅子 (hijikake isu),kiti cha mikono,आरामखुर्ची (ārāmakhurcī),సోఫా కుర్చీ (sōphā kurcī),koltuk,안락의자 (anlag-uija),poltrona
484,armed,مسلح,武装的 (wǔzhuāng de),सशस्त्र (saśastra),armado,armé,مسلح (musallaḥ),সশস্ত্র (shoshostro),armado,вооруженный,مسلح (musallah),bersenjata,bewaffnet,武装した (busō shita),-enye silaha,सशस्त्र (saśastra),సాయుధ (sāyudha),silahlı,무장한 (mujanghan),armato
485,armful,یک بغل,一抱 (yībào),अँकवार (ankavār),brazada,brassée,ملء الذراعين (milʾ al-dhirāʿayn),এক কোল (ek kol),braçada,охапка,بغل بھر (baghal bhar),sepelukan,Armvoll,腕一杯 (ude ippai),mkusanyiko,ओंजळभर (ōn̄jaḷabhara),చంక నిండా (caṅka niṇḍā),kucak dolusu,한 아름 (han areum),bracciata
486,armory,اسلحه‌خانه,军械库 (jūnxièkù),शस्त्रागार (śastrāgār),armería,armurerie,مستودع أسلحة (mustawdaʿ ʾasliḥah),অস্ত্রাগার (ostragar),arsenal,арсенал,اسلحہ خانہ (asliha-khāna),gudang senjata,Waffenkammer,武器庫 (bukiko),ghala la silaha,शस्त्रागार (śastrāgāra),ఆయుధశాల (āyudhaśāla),cephane; silah deposu,무기고 (mugigo),armeria
487,arms,سلاح‌ها,武器 (wǔqì),हथियार (hathiyār),armas,armes,أسلحة (ʾasliḥah),অস্ত্র (ostro),armas,оружие,اسلحہ (asliha),senjata,Waffen,武器 (buki),silaha,शस्त्रे (śastrē),ఆయుధాలు (āyudhālu),silahlar,무기 (mugi),armi
488,army,ارتش,军队 (jūnduì),सेना (senā),ejército,armée,جيش (jaysh),সেনাবাহিনী (shenabahini),exército,армия,فوج (fauj),tentara,Armee,軍隊 (guntai),jeshi,सैन्य (sain'ya),సైన్యం (sain'yaṁ),ordu,군대 (gundae),esercito
489,around,اطراف; حدود,周围 (zhōuwéi),चारों ओर (cārõ or),alrededor de,autour de,حول (ḥawla),চারপাশে (charpashe),ao redor de,вокруг,ارد گرد (ird-gird),di sekitar,um ... herum,周りに (mawari ni),karibu na,सुमारे (sumārē),చుట్టూ (cuṭṭū),etrafında; yaklaşık,주위에 (juwie),intorno a
490,arouse,برانگیختن,引起 (yǐnqǐ),उत्तेजित करना (uttejit karnā),despertar,susciter,يثير (yuthīru),জাগ্রত করা (jagroto kora),despertar,пробуждать,اکسانا (uksānā),membangkitkan,erregen; wecken,引き起こす (hikiokosu),kuamsha,जागृत करणे (jāgr̥ta karaṇē),రేకెత్తించు (rēkettin̄cu),uyandırmak; canlandırmak,불러일으키다 (bulleo-ileukida),suscitare; destare
491,arrange,ترتیب دادن; چیدن,安排 (ānpái),व्यवस्था करना (vyavasthā karnā),arreglar; organizar,arranger; organiser,يرتب (yurattibu),সাজানো (shajano),arrumar; organizar,устраивать; организовывать,ترتیب دینا (tartīb denā),mengatur,arrangieren; anordnen,手配する (tehai suru),kupanga,व्यवस्था करणे (vyavasthā karaṇē),ఏర్పాటు చేయు (ērpāṭu cēyu),düzenlemek; ayarlamak,배열하다 (baeyeolhada),sistemare; organizzare
492,arrangement,ترتیب; قرار,安排 (ānpái),व्यवस्था (vyavasthā),arreglo; acuerdo,arrangement; accord,ترتيب (tartīb),সাজানো (shajano),arranjo; acordo,расположение; договоренность,انتظام (intizām),pengaturan,Anordnung; Vereinbarung,配置 (haichi); 手配 (tehai),mpangilio,व्यवस्था (vyavasthā),ఏర్పాటు (ērpāṭu),düzenleme; aranjman,배열; 약속 (baeyeol; yagsog),sistemazione; accordo
493,array,آرایه; مجموعه,阵列 (zhènliè),सरणी (saraṇī),matriz; conjunto,éventail; panoplie,مصفوفة (maṣfūfah),শ্রেণী (shreni),conjunto; série,массив; множество,صف (saf),larik,Anordnung; Reihe,配列 (hairetsu),safu,रचना (racanā),వ్యూహం (vyūhaṁ),dizi; sıra,배열 (baeyeol),schiera; gamma
494,arrest,دستگیر کردن; دستگیری,逮捕 (dàibǔ),गिरफ्तारी (giraftārī),arresto; arrestar,arrestation; arrêter,اعتقال (iʿtiqāl); يعتقل (yaʿtaqilu),গ্রেপ্তার (greptar),prisão; prender,арест; арестовывать,گرفتاری (giraftārī); گرفتار کرنا (giraftār karnā),penangkapan; menangkap,Verhaftung; verhaften,逮捕 (taiho),kukamatwa; kukamata,अटक (aṭaka),అరెస్టు (aresṭu),tutuklama; tutuklamak,체포; 체포하다 (chepo; chepohada),arresto; arrestare
495,arrival,ورود,到达 (dàodá),आगमन (āgman),llegada,arrivée,وصول (wuṣūl),আগমন (agomon),chegada,прибытие,آمد (āmad),kedatangan,Ankunft,到着 (tōchaku),kuwasili,आगमन (āgamana),రాక (rāka),varış,도착 (dochag),arrivo
496,arrive,رسیدن,到达 (dàodá),पहुंचना (pahunchnā),llegar,arriver,يصل (yaṣilu),পৌঁছানো (põuchhano),chegar,прибывать,پہنچنا (pahunchnā),tiba,ankommen,到着する (tōchaku suru),kufika,पोहोचणे (pōhōcaṇē),చేరుకొను (cērukonu),varmak; ulaşmak,도착하다 (dochaghada),arrivare
497,arrogant,متکبر,傲慢的 (àomàn de),अहंकारी (ahaṅkārī),arrogante,arrogant,متكبر (mutakabbir),অহংকারী (ohongkari),arrogante,высокомерный,مغرور (maghrūr),sombong,arrogant,横柄な (ōheina),-a majivuno,गर्विष्ठ (garviṣṭha),అహంకార (ahaṅkāra),kibirli; küstah,거만한 (geomanhan),arrogante
498,arrow,تیر; پیکان,箭头 (jiàntóu),तीर (tīr),flecha,flèche,سهم (sahm),তীর (tir),flecha,стрела,تیر (tīr),panah,Pfeil,矢 (ya),mshale,बाण (bāṇa),బాణం (bāṇaṁ),ok,화살 (hwasal),freccia
499,art,هنر,艺术 (yìshù),कला (kalā),arte,art,فن (fann),শিল্প (shilpo),arte,искусство,فن (fan),seni,Kunst,芸術 (geijutsu),sanaa,कला (kalā),కళ (kaḷa),sanat,예술 (yesul),arte
500,artery,سرخرگ,动脉 (dòngmài),धमनी (dhamanī),arteria,artère,شريان (shiryān),ধমনী (dhomoni),artéria,артерия,شریان (sharyān),arteri,Arterie,動脈 (dōmyaku),ateri,धमनी (dhamanī),ధమని (dhamani),atardamar,동맥 (dongmaeg),arteria
